"title","geolocation","domain","network"
"American Independent","US","americanindependent.com","American Independent"
"American Independent Foundation","US","americanindependentfoundation.com","American Independent"
"Wisconsin Independent","Wisconsin","wisconsinindependent.com","American Independent"
"Michigan Independent","Michigan","michiganindependent.com","American Independent"
"Pennsylvania Independent","Pennsylvania","pennsylvaniaindependent.com","American Independent"
"Arizona Independent","Arizona","arizonaindependent.com","American Independent"
"Ohio Independent","Ohio","ohioindependent.com","American Independent"
